init_checkpoint=/root/incumbent/auxhead-lite/seed17/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=17
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=16000 loss=0.6506 policy_loss=0.1076 reward_sum=-0.200
episode=16050 loss=0.1312 policy_loss=-0.2820 reward_sum=-0.690
episode=16100 loss=0.5417 policy_loss=0.0300 reward_sum=-0.152
episode=16150 loss=0.0848 policy_loss=-0.3487 reward_sum=0.556
episode=16200 loss=0.6231 policy_loss=0.0925 reward_sum=-0.116
episode=16250 loss=0.2784 policy_loss=-0.0982 reward_sum=-0.680
episode=16300 loss=0.5112 policy_loss=0.0007 reward_sum=-0.152
episode=16350 loss=0.0866 policy_loss=-0.3184 reward_sum=0.454
episode=16400 loss=0.6347 policy_loss=0.1181 reward_sum=-0.176
episode=16450 loss=0.2107 policy_loss=-0.1953 reward_sum=0.320
episode=16500 loss=0.6463 policy_loss=0.1384 reward_sum=-0.152
episode=16550 loss=0.2759 policy_loss=-0.1315 reward_sum=0.367
episode=16600 loss=0.6399 policy_loss=0.1147 reward_sum=-0.164
episode=16650 loss=0.2050 policy_loss=-0.2044 reward_sum=0.308
episode=16700 loss=0.4712 policy_loss=-0.0555 reward_sum=-0.152
episode=16750 loss=0.3147 policy_loss=-0.1161 reward_sum=0.457
episode=16800 loss=0.5983 policy_loss=0.0800 reward_sum=-0.152
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=16850 loss=0.2121 policy_loss=-0.1931 reward_sum=0.340
episode=16900 loss=0.6619 policy_loss=0.1392 reward_sum=-0.200
episode=16950 loss=0.3219 policy_loss=-0.1080 reward_sum=0.445
episode=17000 loss=0.5784 policy_loss=0.0656 reward_sum=-0.140
episode=17050 loss=0.2718 policy_loss=-0.1061 reward_sum=0.457
episode=17100 loss=0.5953 policy_loss=0.0675 reward_sum=-0.164
episode=17150 loss=0.3196 policy_loss=-0.1180 reward_sum=0.347
episode=17200 loss=0.6562 policy_loss=0.0928 reward_sum=-0.164
episode=17250 loss=0.2965 policy_loss=-0.1377 reward_sum=0.437
episode=17300 loss=0.6016 policy_loss=0.0427 reward_sum=-0.152
episode=17350 loss=0.3019 policy_loss=-0.1084 reward_sum=0.468
episode=17400 loss=0.6757 policy_loss=0.1288 reward_sum=-0.140
episode=17450 loss=0.2871 policy_loss=-0.1070 reward_sum=0.457
episode=17500 loss=0.6085 policy_loss=0.0632 reward_sum=-0.104
episode=17550 loss=0.3072 policy_loss=-0.0993 reward_sum=0.457
episode=17600 loss=0.2427 policy_loss=-0.2624 reward_sum=-0.152
episode=17650 loss=0.3290 policy_loss=-0.0641 reward_sum=0.508
episode=17700 loss=0.6139 policy_loss=0.0723 reward_sum=-0.116
episode=17750 loss=-0.6470 policy_loss=-1.3182 reward_sum=-1.285
episode=17800 loss=0.7212 policy_loss=0.1324 reward_sum=-0.140
episode=17850 loss=0.5278 policy_loss=0.1276 reward_sum=0.371
episode=17900 loss=0.6770 policy_loss=0.1206 reward_sum=-0.140
episode=17950 loss=0.3348 policy_loss=-0.1008 reward_sum=0.457
episode=18000 loss=0.5917 policy_loss=0.0232 reward_sum=-0.200
