init_checkpoint=/root/incumbent/v6-omx-full2-promo-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=15800 loss=0.6941 policy_loss=0.1314 reward_sum=-0.164
episode=15850 loss=0.1151 policy_loss=-0.5398 reward_sum=-1.260
episode=15900 loss=0.4149 policy_loss=-0.0963 reward_sum=-0.176
episode=15950 loss=0.2353 policy_loss=-0.1895 reward_sum=0.340
episode=16000 loss=0.6063 policy_loss=0.1170 reward_sum=-0.200
episode=16050 loss=0.5364 policy_loss=0.0978 reward_sum=-0.720
episode=16100 loss=0.6008 policy_loss=0.0337 reward_sum=-0.188
episode=16150 loss=0.2034 policy_loss=-0.2160 reward_sum=-0.712
episode=16200 loss=0.6470 policy_loss=0.0613 reward_sum=-0.128
episode=16250 loss=0.3754 policy_loss=-0.0500 reward_sum=-0.720
episode=16300 loss=0.6929 policy_loss=0.1154 reward_sum=-0.200
episode=16350 loss=0.2770 policy_loss=-0.1805 reward_sum=0.366
episode=16400 loss=0.6348 policy_loss=0.0579 reward_sum=-0.176
episode=16450 loss=0.2044 policy_loss=-0.1982 reward_sum=0.332
episode=16500 loss=0.7063 policy_loss=0.1410 reward_sum=-0.140
episode=16550 loss=0.2135 policy_loss=-0.2030 reward_sum=0.371
episode=16600 loss=0.6374 policy_loss=0.0670 reward_sum=-0.152
episode=16650 loss=0.2345 policy_loss=-0.1815 reward_sum=-0.690
episode=16700 loss=0.6152 policy_loss=0.0316 reward_sum=-0.152
episode=16750 loss=0.2308 policy_loss=-0.1910 reward_sum=0.328
episode=16800 loss=0.5564 policy_loss=-0.0534 reward_sum=-0.770
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=16850 loss=0.5347 policy_loss=-0.2737 reward_sum=-1.298
episode=16900 loss=0.6902 policy_loss=0.1282 reward_sum=-0.152
episode=16950 loss=0.0619 policy_loss=-0.3429 reward_sum=-0.712
episode=17000 loss=0.6069 policy_loss=0.0625 reward_sum=-0.176
episode=17050 loss=0.3159 policy_loss=-0.3443 reward_sum=-1.260
episode=17100 loss=0.6306 policy_loss=0.0603 reward_sum=-0.200
episode=17150 loss=0.1788 policy_loss=-0.2395 reward_sum=-0.710
episode=17200 loss=0.7064 policy_loss=0.1174 reward_sum=-0.200
episode=17250 loss=0.1398 policy_loss=-0.2531 reward_sum=-0.690
episode=17300 loss=0.6654 policy_loss=0.1023 reward_sum=-0.164
episode=17350 loss=0.2756 policy_loss=-0.1431 reward_sum=0.437
episode=17400 loss=0.7097 policy_loss=0.0896 reward_sum=-0.200
episode=17450 loss=0.2243 policy_loss=-0.1838 reward_sum=0.406
episode=17500 loss=0.9552 policy_loss=0.3426 reward_sum=-0.188
episode=17550 loss=0.2733 policy_loss=-0.1392 reward_sum=0.508
episode=17600 loss=0.5433 policy_loss=-0.0174 reward_sum=-0.140
episode=17650 loss=0.1711 policy_loss=-0.2114 reward_sum=0.308
episode=17700 loss=0.6009 policy_loss=-0.0030 reward_sum=-0.780
episode=17750 loss=0.0977 policy_loss=-0.3519 reward_sum=0.469
episode=17800 loss=0.7625 policy_loss=0.1189 reward_sum=-0.140
